_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
31453,89,7792874,BEDFORD PARK PUBLIC SCHOOL,,EP,Toronto District School Board,81 RANLEIGH AVE,English Public,7792874,81,Ranleigh Ave,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,106007,7792835,81,,,,4253,,,,,"{u'type': u'Point', u'coordinates': (-79.4002783724, 43.7277982582)}"
31454,90,9085421,"BEHAVIOUR INNOVATIONS, CHILDREN'S COLLEGE",,PR,,618 THE QUEENSWAY,Private,9085421,618,The Queensway,618 The Queensway,M8Y 1K3,Etobicoke,Toronto,,115001,9085417,618,,,,2603,,,,,"{u'type': u'Point', u'coordinates': (-79.4954821417, 43.628181961)}"
31455,91,11485082,BEHTUNE MEMORIAL SCHOOL,,PR,,3000 LAWRENCE AVE E,Private,11485082,3000,Lawrence Ave E,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,115001,11485062,3000,,,,3828,,,,,"{u'type': u'Point', u'coordinates': (-79.2496002394, 43.7553058764)}"
31456,92,312976,BELLMERE JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,470 BRIMORTON DR,English Public,312976,470,Brimorton Dr,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,102001,108018,470,,,,7437,,,,,"{u'type': u'Point', u'coordinates': (-79.2351468752, 43.7719692864)}"
31457,93,386802,BEN HEPPNER VOCAL MUSIC ACADEMY,,EP,Toronto District School Board,80 SLAN AVE,English Public,386802,80,Slan Ave,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,102001,107600,80,,,,8966,,,,,"{u'type': u'Point', u'coordinates': (-79.2150687264, 43.7751558784)}"
31458,94,307066,BENDALE JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,61 BENSHIRE DR,English Public,307066,61,Benshire Dr,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,102001,108929,61,,,,7343,,,,,"{u'type': u'Point', u'coordinates': (-79.2448802576, 43.7625671184)}"
31459,95,2945619,BENNINGTON HEIGHTS ELEMENTARY SCHOOL,,EP,Toronto District School Board,76 BENNINGTON HEIGHTS DR,English Public,2945619,76,Bennington Heights Dr,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,102001,2945649,76,,,,30,,,,,"{u'type': u'Point', u'coordinates': (-79.368778082, 43.6939854007)}"
31460,96,3563886,BERKELEY ACADEMY OF CANADA,,PR,,5734 YONGE ST,Private,3563886,5734,Yonge St,5734 Yonge St,M2M 4E7,North York,Toronto,,104008,3563885,5734,,,,4733,,,,,"{u'type': u'Point', u'coordinates': (-79.416860598, 43.7827541057)}"
31461,97,307348,BERNER TRAIL JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,120 BERNER TRL,English Public,307348,120,Berner Trl,120 Berner Trl,M1B 1B3,Scarborough,Toronto,Berner Trail Junior Public School,106007,104808,120,,,,7349,,,,,"{u'type': u'Point', u'coordinates': (-79.2211413059, 43.8014341079)}"
31462,98,17935,BESSBOROUGH DRIVE ELEMENTARY AND MIDDLE SCHOOL,,EP,Toronto District School Board,211 BESSBOROUGH DR,English Public,17935,211,Bessborough Dr,211 Bessborough Dr,M4G 3K2,East York,Toronto,Bessborough Drive Public School,102001,605,211,,,,33,,,,,"{u'type': u'Point', u'coordinates': (-79.3701352032, 43.7072147379)}"
