_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31879,515,JAMES CULNAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,James Culnan Catholic School,"-79.4855842505, 43.661107119"
31880,516,JAMES S BELL JUNIOR MIDDLE SPORTS AND WELLNESS ACADEMY,Toronto District School Board,English Public,Etobicoke,James S Bell Junior Middle School - Building Grounds,"-79.5301917019, 43.594354226"
31881,517,JARVIS COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Jarvis Collegiate Institute,"-79.3777587671, 43.6660913939"
31882,518,JEAN AUGUSTINE GIRLS ACADEMY,Toronto District School Board,English Public,Scarborough,Highland Heights Public School,"-79.3002623455, 43.7944199052"
31883,519,JEAN LUMB PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,,"-79.3944968858, 43.6394568234"
31884,520,JEAN VANIER CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Jean Vanier Catholic School,"-79.2584143684, 43.7379399271"
31885,521,JESSE KETCHUM JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Jesse Ketchum Public School,"-79.3921392258, 43.6729826225"
31886,522,JOHN A LESLIE PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,John A. Leslie Public School,"-79.2490593762, 43.7141086802"
31887,523,JOHN BUCHAN SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Stephen Leacock Collegiate Institute - Building Grounds,"-79.3021342614, 43.7851820434"
31888,524,JOHN D PARKER JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,John D Parker Public School,"-79.5964455179, 43.753357913"
31889,525,JOHN ENGLISH JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,John English Junior Middle School,"-79.4944180034, 43.6118557338"
31890,526,JOHN FISHER JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,John Fisher Public School,"-79.39746938, 43.7119282511"
31891,527,JOHN G ALTHOUSE MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,John G. Althouse Middle School,"-79.5540087673, 43.6683053235"
31892,528,JOHN G DIEFENBAKER PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,John G Diefenbaker Public School,"-79.1718695348, 43.8022950283"
31893,529,JOHN MCCRAE SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,John McCrae Senior Public School,"-79.2398865092, 43.7440442494"
31894,530,JOHN POLANYI COLLEGIATE INSTITUTE,Toronto District School Board,English Public,North York,Bathurst Heights Secondary School,"-79.4398553095, 43.7178089516"
31895,531,JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,John Ross Robertson Junior Public School,"-79.4088642991, 43.7183259803"
31896,532,JOHN WANLESS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,John Wanless Junior Public School,"-79.4120566948, 43.728868642"
31897,533,JONES AVENUE ADULT CENTRE,Toronto District School Board,English Public,former Toronto,Jones Avenue Adult New Canadian,"-79.3395605756, 43.6772533084"
31898,534,JOSEPH BRANT SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Joseph Brant Public School,"-79.1754975508, 43.7670440318"
31899,535,JOSEPH HOWE SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Joseph Howe Public School,"-79.1372982104, 43.7858078454"
31900,536,JOSYF CARDINAL SLIPYJ CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Josyf Cardinal Slipyj Catholic School,"-79.5660253981, 43.6594751992"
31901,537,JOYCE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,"Joyce Public School, Delo Park","-79.4637574882, 43.7097753946"
31902,538,KAPAPAMAHCHAKWEW - WANDERING SPIRIT SCHOOL,Toronto District School Board,English Public,former Toronto,Eastern High School Of Commerce,"-79.3366360566, 43.6791402347"
31903,539,KAREN KAIN SCHOOL OF THE ARTS,Toronto District School Board,English Public,Etobicoke,,"-79.5001456128, 43.6310527118"
31904,540,KEELE STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Keele Street Public School,"-79.4615965745, 43.6575074743"
31905,541,KEELESDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,York,Keelesdale Junior Public School,"-79.4769463101, 43.6869571005"
31906,542,KENNEDY LINC,Toronto District School Board,English Public,Scarborough,,"-79.2973885878, 43.8036230146"
31907,543,KENNEDY PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Kennedy Public School,"-79.3081805176, 43.8188359158"
31908,544,KENSINGTON COMMUNITY SCHOOL,Toronto District School Board,English Public,former Toronto,,"-79.4057315246, 43.6563978195"
31909,545,KENTON LEARNING CENTRE LINC,Toronto District School Board,English Public,North York,Kenton Learning Centre LINC,"-79.4400572253, 43.7795492006"
31910,546,KEW BEACH JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Kew Beach Public School,"-79.3027273153, 43.6684642406"
31911,547,KEW PARK MONTESSORI,,Private,former Toronto,,"-79.3220904093, 43.6709030436"
