_id,DATE,HOUR,geometry,ROAD_CLASS,District,WardNum,ACCLOC,LIGHT,RDSFCOND,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDCOND,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
15921,2019-08-31T04:00:00,7,"-79.380153, 43.674537",Major Arterial,Toronto and East York,11,Intersection Related,Daylight,Dry,Pedestrian Collisions,70 to 74,Major,,,,Normal,,Yes,,
15954,2019-09-10T04:00:00,7,"-79.494045, 43.765189",Collector,Etobicoke York,7,Non Intersection,Daylight,Dry,Pedestrian Collisions,40 to 44,None,,Other,Inattentive,,,,,
15955,2019-09-10T04:00:00,7,"-79.494045, 43.765189",Collector,Etobicoke York,7,Non Intersection,Daylight,Dry,Pedestrian Collisions,75 to 79,Major,,,,Normal,,,,
15505,2019-11-04T05:00:00,7,"-79.431705, 43.715369",Collector,North York,8,Intersection Related,Daylight,Wet,Pedestrian Collisions,65 to 69,None,,Failed to Yield Right of Way,Other,,,Yes,,
15506,2019-11-04T05:00:00,7,"-79.431705, 43.715369",Collector,North York,8,Intersection Related,Daylight,Wet,Pedestrian Collisions,55 to 59,Major,,,,Other,,Yes,,
15508,2019-11-07T05:00:00,7,"-79.352291, 43.782432",Major Arterial,North York,17,At/Near Private Drive,"Dawn, artificial",Wet,Cyclist Collisions,75 to 79,Major,,,,,,,,
15509,2019-11-07T05:00:00,7,"-79.352291, 43.782432",Major Arterial,North York,17,At/Near Private Drive,"Dawn, artificial",Wet,Cyclist Collisions,35 to 39,None,,Driving Properly,Normal,,,,,
16056,2019-12-14T05:00:00,7,"-79.443996, 43.71614",Major Arterial,North York,8,At Intersection,Daylight,Wet,Turning Movement,35 to 39,Major,,Disobeyed Traffic Control,Normal,,,Yes,Yes,
16057,2019-12-14T05:00:00,7,"-79.443996, 43.71614",Major Arterial,North York,8,At Intersection,Daylight,Wet,Turning Movement,45 to 49,None,,Driving Properly,Normal,,,Yes,Yes,
15170,2019-02-04T05:00:00,8,"-79.480449, 43.650199",Major Arterial,Toronto and East York,4,At Intersection,Daylight,Wet,Pedestrian Collisions,35 to 39,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
